line,converged,max_loading,v_min,v_max,n_thermal,n_voltage,n_violations
111,True,187.6469585236284,0.9430000000000001,1.0500000000000003,2,0,2
2,True,185.12049652508213,0.9430000000000001,1.0500000000000003,3,0,3
65,True,180.90697134228967,0.9266073480127726,1.05,3,2,5
123,True,180.62724965192322,0.943,1.05,4,0,4
106,True,178.9226860178522,0.943,1.0500000000000003,7,0,7
125,True,177.03802798735768,0.9430000000000002,1.0500000000000003,3,0,3
69,True,174.34258825759196,0.9116430724689847,1.0500000000000003,3,2,5
82,True,169.36621162352532,0.943,1.0500000000000003,3,0,3
88,True,168.9256094556266,0.9429999999999998,1.0500000000000003,9,0,9
54,True,167.0900644801029,0.943,1.0500000000000003,1,0,1
9,True,162.62641600674496,0.9430000000000002,1.05,4,0,4
48,True,162.44583039596765,0.9429999999999996,1.05,3,0,3
61,True,159.90387992706115,0.943,1.05,6,0,6
62,True,159.90387992706115,0.943,1.05,6,0,6
73,True,158.3848516318206,0.9430000000000002,1.05,1,0,1
100,True,156.9757281433193,0.943,1.05,2,0,2
63,True,156.96254552985692,0.9430000000000002,1.0500000000000003,6,0,6
32,True,155.218718574083,0.9430000000000003,1.0500000000000005,3,0,3
64,True,155.12149313811113,0.9430000000000002,1.05,3,0,3
58,True,154.2468978257702,0.9429999999999998,1.0500000000000003,3,0,3
119,True,151.4644655438678,0.9430000000000001,1.0500000000000005,4,0,4
159,True,149.10204348713165,0.9429999999999998,1.0500000000000003,2,0,2
10,True,148.95746165048865,0.943,1.0500000000000003,2,0,2
113,True,148.736097184224,0.9430000000000003,1.0500000000000003,5,0,5
38,True,146.6419232922191,0.9430000000000002,1.0500000000000003,4,0,4
47,True,146.21882843969848,0.943,1.05,3,0,3
76,True,145.34911960389394,0.943,1.05,2,0,2
116,True,145.33091458432042,0.943,1.0500000000000003,1,0,1
122,True,144.4332869172965,0.9429999999999998,1.0500000000000003,3,0,3
8,True,144.23745260974198,0.9430000000000001,1.0500000000000003,3,0,3
163,True,143.37388601527655,0.9430000000000001,1.0500000000000003,5,0,5
68,True,143.28833011598215,0.9355696229599471,1.05,2,1,3
146,True,140.4272593184994,0.9429999999999998,1.0500000000000003,2,0,2
140,True,139.96393547801546,0.9430000000000002,1.05,1,0,1
95,True,139.42601372646672,0.9429999999999996,1.05,2,0,2
11,True,129.94801422386274,0.9399974419781038,1.0500000000000003,2,1,3
51,True,129.90534100532597,0.9430000000000002,1.05,1,0,1
112,True,127.26788355845888,0.9430000000000001,1.05,1,0,1
15,True,125.09539368591199,0.943,1.0500000000000003,2,0,2
120,True,123.15519953679608,0.9430000000000001,1.0500000000000003,2,0,2
57,True,121.86792940306874,0.9430000000000001,1.05,2,0,2
81,True,121.50653075807986,0.9429999999999997,1.05,1,0,1
75,True,121.14257855595474,0.943,1.05,1,0,1
93,True,120.98770711842755,0.9429999999999998,1.0500000000000003,2,0,2
78,True,120.02124417956487,0.9429999999999998,1.0500000000000003,3,0,3
92,True,119.03938549576485,0.943,1.05,2,0,2
91,True,119.03938549576485,0.943,1.05,2,0,2
80,True,118.97021980663133,0.9430000000000002,1.0500000000000003,1,0,1
18,True,117.76113402668223,0.943,1.05,1,0,1
151,True,116.24459563970501,0.9430000000000001,1.0500000000000003,2,0,2
142,True,115.82756604850601,0.9430000000000002,1.05,2,0,2
153,True,114.76541118961418,0.9429999999999997,1.0500000000000003,2,0,2
132,True,113.06490598224937,0.9429999999999998,1.0500000000000003,2,0,2
5,True,113.00579880264259,0.9429999999999998,1.05,1,0,1
155,True,113.00545976365277,0.9429999999999998,1.0500000000000003,1,0,1
131,True,112.70931916443729,0.943,1.05,1,0,1
167,True,112.60451992836681,0.9429999999999997,1.0500000000000003,1,0,1
36,True,112.46423158617338,0.9421664153362598,1.05,2,0,2
102,True,111.75683342627079,0.9430000000000001,1.0500000000000003,2,0,2
50,True,111.20175054768909,0.9429999999999998,1.05,1,0,1
35,True,110.29465454015475,0.9430000000000002,1.0500000000000003,2,0,2
22,True,110.0488053298584,0.9430000000000002,1.0500000000000003,1,0,1
109,True,109.30344348981782,0.9429999999999998,1.0500000000000003,1,0,1
25,True,108.79231770678857,0.943,1.05,2,0,2
158,True,107.1287741149789,0.9430000000000001,1.0500000000000003,1,0,1
118,True,106.83811039029285,0.9430000000000001,1.0500000000000003,2,0,2
133,True,105.90170505417407,0.9430000000000001,1.05,1,0,1
94,True,105.55778089427577,0.9430000000000001,1.0500000000000003,1,0,1
160,True,104.50411098416265,0.9430000000000001,1.0500000000000003,1,0,1
59,True,104.34553467033369,0.9430000000000001,1.0500000000000003,1,0,1
84,True,103.5694863322653,0.9430000000000002,1.05,1,0,1
70,True,103.26667448846753,0.943,1.0500000000000003,1,0,1
28,True,103.24549279216686,0.943,1.0500000000000003,2,0,2
71,True,102.79098951677798,0.9430000000000001,1.05,1,0,1
148,True,101.93046956412222,0.9429999999999997,1.05,1,0,1
137,True,101.52651396402159,0.9430000000000002,1.0500000000000003,1,0,1
135,True,101.37441955762985,0.9430000000000001,1.0500000000000003,1,0,1
138,True,101.01338944523137,0.943,1.0500000000000003,1,0,1
40,True,100.71907481959256,0.9429999999999998,1.0500000000000003,1,0,1
72,True,100.69657504893017,0.943,1.0500000000000003,1,0,1
52,True,100.10402194591785,0.9430000000000002,1.0500000000000003,1,0,1
104,True,99.80665220074934,0.9429999999999998,1.05,0,0,0
149,True,99.07586747268272,0.9429999999999998,1.0500000000000003,0,0,0
114,True,98.92178480535712,0.943,1.0500000000000003,0,0,0
143,True,98.81841467157811,0.9429999999999998,1.05,0,0,0
170,True,98.15265478882009,0.9430000000000003,1.0500000000000003,0,0,0
39,True,97.42659265181689,0.9430000000000002,1.05,0,0,0
83,True,96.06127613549918,0.9430000000000001,1.0500000000000003,0,0,0
0,True,95.75644275109713,0.9429999999999998,1.0500000000000003,0,0,0
129,True,95.31773617508689,0.9429999999999998,1.05,0,0,0
99,True,94.74549517134191,0.9429999999999996,1.05,0,0,0
152,True,94.64738398444801,0.943,1.05,0,0,0
162,True,94.1292903430097,0.9430000000000001,1.05,0,0,0
141,True,94.12093660535996,0.943,1.0500000000000003,0,0,0
13,True,93.36014148241519,0.943,1.05,0,0,0
79,True,92.79204080883774,0.9429999999999998,1.05,0,0,0
77,True,92.68015061033297,0.9429999999999998,1.05,0,0,0
24,True,91.96193820025796,0.9429999999999998,1.05,0,0,0
130,True,91.38182648057315,0.9430000000000002,1.05,0,0,0
110,True,91.1091123240747,0.9429999999999998,1.0500000000000003,0,0,0
121,True,90.73207688905963,0.9429999999999998,1.0500000000000003,0,0,0
144,True,90.27395238888738,0.9430000000000001,1.05,0,0,0
97,True,89.98741746430062,0.9429999999999998,1.05,0,0,0
60,True,89.76830201204025,0.9429999999999998,1.0500000000000003,0,0,0
156,True,89.65819974834999,0.9429999999999998,1.0500000000000003,0,0,0
55,True,89.63225869384033,0.9430000000000002,1.0500000000000003,0,0,0
87,True,89.30252662672459,0.9430000000000001,1.05,0,0,0
136,True,88.72257900173128,0.943,1.0500000000000003,0,0,0
145,True,87.74569749665105,0.9429999999999998,1.0500000000000003,0,0,0
147,True,86.50410096362037,0.943,1.05,0,0,0
12,True,86.34724118480297,0.9430000000000001,1.05,0,0,0
23,True,85.75974839197148,0.9412527757010847,1.0500000000000003,0,0,0
101,True,85.54699229052409,0.9430000000000001,1.05,0,0,0
172,True,83.66903611033443,0.9430000000000001,1.05,0,0,0
127,True,83.3218469570499,0.943,1.0500000000000005,0,0,0
86,True,82.87385461935692,0.943,1.0500000000000005,0,0,0
17,True,82.20740502220062,0.943,1.05,0,0,0
169,True,82.08873216252617,0.943,1.05,0,0,0
165,True,81.61958967597214,0.943,1.05,0,0,0
103,True,80.91512408493801,0.9429999999999997,1.05,0,0,0
166,True,80.27137299830636,0.943,1.05,0,0,0
16,True,80.19705901105044,0.9429999999999998,1.0500000000000003,0,0,0
41,True,79.83870568486819,0.9430000000000002,1.0500000000000003,0,0,0
42,True,78.89086806936453,0.943,1.0500000000000003,0,0,0
105,True,77.80068229016486,0.9430000000000002,1.05,0,0,0
